"13","470-8000","8&#733;&times;36 yds","4"," 182.00"," 172.00","188.00","178.00"
"1","HDBT00187 ","3&frasl;16&#733; ","2000 "," 37.00 ","38.00"
"2","HDBT00250 ","1&frasl;4&#733; ","2000 "," 41.00 ","42.00"
"3","HDBT00312 ","5&frasl;16&#733; ","2000 "," 45.00 ","47.00"
"4","HDBT00375 ","3&frasl;8&#733; ","2000 "," 50.00 ","52.00"
"5","HDBT00437 ","7&frasl;16&#733; ","2000 "," 54.00 ","56.00"
"6","HDBT00500 ","1&frasl;2&#733; ","2000 "," 58.00 ","60.00"
"7","HDBT00562 ","9&frasl;16&#733; ","2000 "," 61.00 ","63.00"
"8","HDBT00625 ","5&frasl;8&#733; ","1000 "," 47.00 ","49.00"
"9","HDBT00687 ","11&frasl;16&#733; ","1000 "," 51.00 ","53.00"
"10","HDBT00750 ","3&frasl;4&#733; ","1000 "," 54.00 ","56.00"
"11","HDBT00812 ","13&frasl;16&#733; ","1000 "," 59.00 ","61.00"
"12","HDBT00875 ","7&frasl;8&#733; ","1000 "," 66.00 ","68.00"
"13","HDBT00937 ","15&frasl;16&#733; ","500 "," 35.00 ","36.00"
"14","HDBT01000 ","1&#733; ","500 "," 37.00 ","38.00"
"15","HDBT01250 ","1-1&frasl;4&#733; ","500 "," 47.00 ","49.00"
"16","HDBT01500 ","1-1&frasl;2&#733; ","500 "," 55.00 ","57.00"
"17","HDBT02000","2&#733;","250"," 60.00","62.00"
"1","AD00125 ","1&frasl;8&#733; ","2000 "," 22.00","23.00"
"2","AD00187 ","3&frasl;16&#733; ","2000 "," 25.00 ","26.00"
"3","AD00250 ","1&frasl;4&#733; ","2000 "," 28.00 ","29.00"
"4","AD00312 ","5&frasl;16&#733; ","2000 "," 29.00 ","30.00"
"5","AD00375 ","3&frasl;8&#733; ","2000 "," 34.00 ","35.00"
"6","AD00437 ","7&frasl;16&#733; ","2000 "," 37.00 ","38.00"
"7","AD00500 ","1&frasl;2&#733; ","2000 "," 41.00 ","42.00"
"8","AD00562 ","9&frasl;16&#733; ","2000 "," 47.00 ","49.00"
"9","AD00591 ","19&frasl;32&#733; ","2000 "," 58.00 ","60.00"
"10","AD00625 ","5&frasl;8&#733; ","2000 "," 51.00 ","53.00"
"11","AD00687 ","11&frasl;16&#733; ","1000 "," 32.00 ","33.00"
"12","AD00750 ","3&frasl;4&#733; ","1000 "," 35.00 ","36.00"
"13","AD00812 ","13&frasl;16&#733; ","1000 "," 37.00 ","38.00"
"14","AD00875 ","7&frasl;8&#733; ","500 "," 28.00 ","29.00"
"15","AD00937 ","15&frasl;16&#733; ","500 "," 33.00 ","34.00"
"16","AD01000 ","1&#733; ","500 "," 34.00 ","35.00"
"17","AD01062 ","1-1&frasl;16&#733; ","500 "," 35.00 ","36.00"
"18","AD01125 ","1-1&frasl;8&#733; ","500 "," 36.00 ","37.00"
"19","AD01187 ","1-3&frasl;16&#733; ","500 "," 37.00 ","38.00"
"20","AD01250 ","1-1&frasl;4&#733; ","500 "," 37.00 ","38.00"
"21","AD01312 ","1-5&frasl;16&#733; ","500 "," 40.00 ","41.00"
"22","AD01375 ","1-3&frasl;8&#733; ","500 "," 42.00 ","43.00"
"23","AD01437 ","1-7&frasl;16&#733; ","500 "," 44.00 ","46.00"
"24","AD01500 ","1-1&frasl;2&#733; ","500 "," 48.00 ","50.00"
"25","AD01562 ","1-9&frasl;16&#733; ","500 "," 51.00 ","53.00"
"26","AD01625 ","1-5&frasl;8&#733; ","250 "," 32.00 ","33.00"
"27","AD01687 ","1-11&frasl;16&#733; ","250 "," 33.00 ","34.00"
"28","AD01750 ","1-3&frasl;4&#733; ","250 "," 34.00 ","35.00"
"29","AD01812 ","1-13&frasl;16&#733; ","250 "," 35.00 ","36.00"
"30","AD01875 ","1-7&frasl;8&#733; ","250 "," 37.00 ","38.00"
"31","AD01937 ","1-15&frasl;16&#733; ","250 "," 40.00 ","41.00"
"32","AD02000 ","2&#733; ","100 "," 23.00 ","24.00"
"33","AD02250 ","2-1&frasl;4&#733; ","100 "," 60.00 ","62.00"
"34","AD02500 ","2-1&frasl;2&#733; ","100 "," 92.00 ","95.00"
"35","AD02750 ","2-3&frasl;4&#733; ","100 "," 132.00 ","137.00"
"36","AD03000 ","3&#733; ","100 "," 189.00 ","196.00"
"37","AD03250 ","3-1&frasl;4&#733; ","100 "," 207.00 ","214.00"
"38","AD03500 ","3-1&frasl;2&#733; ","100 "," 226.00 ","234.00"
"39","AD03750 ","3-3&frasl;4&#733; ","100 "," 245.00 ","254.00"
"40","AD04000 ","4&#733; ","100 "," 264.00 ","273.00"
"41","AD04500 ","4-1&frasl;2&#733; ","250 "," 614.00 ","635.00"
"42","AD05000 ","5&#733; ","250 "," 650.00 ","673.00"
"43","AD06000 ","6&#733; ","250 "," 689.00 ","713.00"
"44","AD07000 ","7&#733; ","250 "," 814.00 ","842.00"
"45","AD08000","8&#733;","250"," 940.00","973.00"
"1","CCD00125 ","1&frasl;8&#733; ","1000 "," 35.00","36.00"
"2","CCD00187 ","3&frasl;16&#733; ","1000 "," 37.00 ","38.00"
"3","CCD00250 ","1&frasl;4&#733; ","1000 "," 39.00 ","40.00"
"4","CCD00312 ","5&frasl;16&#733; ","1000 "," 43.00 ","45.00"
"5","CCD00375 ","3&frasl;8&#733; ","1000 "," 52.00 ","54.00"
"6","CCD00437 ","7&frasl;16&#733; ","1000 "," 60.00 ","62.00"
"7","CCD00500 ","1&frasl;2&#733; ","1000 "," 64.00 ","66.00"
"8","CCD00562 ","9&frasl;16&#733; ","1000 "," 69.00 ","71.00"
"9","CCD00625 ","5&frasl;8&#733; ","1000 "," 72.00 ","75.00"
"10","CCD00687 ","11&frasl;16&#733; ","1000 "," 74.00 ","77.00"
"11","CCD00750 ","3&frasl;4&#733; ","1000 "," 76.00 ","79.00"
"12","CCD00812 ","13&frasl;16&#733; ","1000 "," 83.00 ","86.00"
"13","CCD00875 ","7&frasl;8&#733; ","1000 "," 89.00 ","92.00"
"14","CCD00937 ","15&frasl;16&#733; ","500 "," 60.00 ","62.00"
"15","CCD01000 ","1&#733; ","500 "," 69.00 ","71.00"
"16","CCD01250 ","1-1&frasl;4&#733; ","500 "," 85.00 ","88.00"
"17","CCD01500 ","1-1&frasl;2&#733; ","500 "," 103.00 ","107.00"
"18","CCD02000","2&#733;","250"," 110.00","114.00"
"1","0.044&#733; diameter ","5 lbs. "
"2","0.062&#733; diameter ","10 lbs. "
"3","0.076&#733; diameter ","15 lbs. "
"4","0.120&#733; diameter ","30 lbs. "
"5","0.180&#733; diameter ","80 lbs. "
"6","0.250&#733; diameter","110 lbs."
"1","BS99 ","1&frasl;32&#733; ","1&frasl;8&#733; ","5&frasl;8&#733; ","1000 "," 35.00 "," 30.00 ","36.00","31.00"
"2","BS100 ","1&frasl;16&#733; ","1&frasl;8&#733; ","5&frasl;8&#733; ","1000 "," 40.00 "," 37.00 ","41.00","38.00"
"3","BS101 ","1&frasl;16&#733; ","3&frasl;16&#733; ","5&frasl;8&#733; ","1000 "," 23.00 "," 21.00 ","24.00","22.00"
"4","BS101XL ","1&frasl;16&#733; ","3&frasl;16&#733; ","3&frasl;4&#733; ","1000 "," 27.00 "," 23.00 ","28.00","24.00"
"5","BS102 ","1&frasl;8&#733; ","1&frasl;4&#733; ","3&frasl;4&#733; ","1000 "," 34.00 "," 31.00 ","35.00","32.00"
"6","BS102XL ","1&frasl;8&#733; ","1&frasl;4&#733; ","1&#733; ","1000 "," 49.00 "," 45.00 ","51.00","47.00"
"7","BS103 ","3&frasl;16&#733; ","11&frasl;32&#733; ","5&frasl;8&#733; ","1000 "," 51.00 "," 42.00 ","53.00","43.00"
"8","BS103XL ","3&frasl;16&#733; ","11&frasl;32&#733; ","1&#733; ","1000 "," 88.00 "," 76.00 ","91.00","79.00"
"9","BS104 ","1&frasl;4&#733; ","3&frasl;8&#733; ","3&frasl;4&#733; ","1000 "," 89.00 "," 77.00 ","92.00","80.00"
"10","BS104XL ","1&frasl;4&#733; ","7&frasl;16&#733; ","1&#733; ","1000 "," 92.00 "," 88.00 ","95.00","91.00"
"11","BS375XL ","1&frasl;8&#733; ","3&frasl;8&#733; ","1-1&frasl;4&#733; ","100 "," 24.00 "," 22.00 ","25.00","23.00"
"12","BS500XL ","1&frasl;8&#733; ","1&frasl;2&#733; ","2&#733; ","100 "," 35.00 "," 31.00 ","36.00","32.00"
"13","BS000XL ","5&frasl;16&#733; ","1&frasl;2&#733; ","1&#733; ","100 "," 17.00 "," 15.00 ","17.50","15.50"
"14","BS105 ","1&frasl;4&#733; ","3&frasl;8&#733; ","1&frasl;2&#733; ","100 "," 19.00 "," 16.00 ","19.50","16.50"
"15","BS000 ","11&frasl;32&#733; ","15&frasl;32&#733; ","23&frasl;32&#733; ","100 "," 13.00 "," 11.00 ","13.50","11.50"
"16","BS106 ","11&frasl;32&#733; ","7&frasl;16&#733; ","11&frasl;16&#733; ","100 "," 15.00 "," 13.00 ","15.50","13.50"
"17","BS107 ","3&frasl;8&#733; ","9&frasl;16&#733; ","1&#733; ","100 "," 21.00 "," 18.00 ","22.00","19.00"
"18","BS00 ","13&frasl;32&#733; ","19&frasl;32&#733; ","1-1&frasl;32&#733; ","100 "," 20.00 "," 16.00 ","21.00","17.00"
"19","BS108 ","7&frasl;16&#733; ","5&frasl;8&#733; ","13&frasl;16&#733; ","100 "," 22.00 "," 17.00 ","23.00","18.00"
